sample-id,forward-absolute-filepath,reverse-absolute-filepath,Full_ID,Pig,Date_mddyy,Timepoint,Dorsal_Ventral,Burn_Excisional,Infection_Group,SampleType,ExGroup
WM1-3-D-B-U,NA,NA,WM1-052422-D-B-U-1,WM1,52422,3,D,B,U,Gauze in PBS,WM1-3-D-B-U
WM1-3-D-E-C,NA,NA,WM1-052422-D-E-C-1,WM1,52422,3,D,E,C,Gauze in PBS,WM1-3-D-E-C
WM1-3-D-B-C,NA,NA,WM1-052422-D-B-C-1,WM1,52422,3,D,B,C,Gauze in PBS,WM1-3-D-B-C
WM1-3-D-B-B,NA,NA,WM1-052422-D-B-B-1,WM1,52422,3,D,B,B,Gauze in PBS,WM1-3-D-B-B
WM1-3-D-E-B,NA,NA,WM1-052422-D-E-B-1,WM1,52422,3,D,E,B,Gauze in PBS,WM1-3-D-E-B
WM1-3-D-B-A,NA,NA,WM1-052422-D-B-A-1,WM1,52422,3,D,B,A,Gauze in PBS,WM1-3-D-B-A
WM1-3-D-E-A,NA,NA,WM1-052422-D-E-A-1,WM1,52422,3,D,E,A,Gauze in PBS,WM1-3-D-E-A
WM1-3-D-E-U,NA,NA,WM1-052422-D-E-U-1,WM1,52422,3,D,E,U,Gauze in PBS,WM1-3-D-E-U
WM1-3-V-E-U,NA,NA,WM1-052422-V-E-U-1,WM1,52422,3,V,E,U,Gauze in PBS,WM1-3-V-E-U
WM1-3-V-B-A,NA,NA,WM1-052422-V-B-A-1,WM1,52422,3,V,B,A,Gauze in PBS,WM1-3-V-B-A
WM1-3-V-E-A,NA,NA,WM1-052422-V-E-A-1,WM1,52422,3,V,E,A,Gauze in PBS,WM1-3-V-E-A
WM1-3-V-B-B,NA,NA,WM1-052422-V-B-B-1,WM1,52422,3,V,B,B,Gauze in PBS,WM1-3-V-B-B
WM1-3-V-E-B,NA,NA,WM1-052422-V-E-B-1,WM1,52422,3,V,E,B,Gauze in PBS,WM1-3-V-E-B
WM1-3-V-B-C,NA,NA,WM1-052422-V-B-C-1,WM1,52422,3,V,B,C,Gauze in PBS,WM1-3-V-B-C
WM1-3-V-E-C,NA,NA,WM1-052422-V-E-C-1,WM1,52422,3,V,E,C,Gauze in PBS,WM1-3-V-E-C
WM1-3-V-B-U,NA,NA,WM1-052422-V-B-U-1,WM1,52422,3,V,B,U,Gauze in PBS,WM1-3-V-B-U
WM2-3-D-E-U,NA,NA,WM2-052422-D-E-U-1,WM2,52422,3,D,E,U,Gauze in PBS,WM2-3-D-E-U
WM2-3-D-E-A,NA,NA,WM2-052422-D-E-A-1,WM2,52422,3,D,E,A,Gauze in PBS,WM2-3-D-E-A
WM2-3-D-B-A,NA,NA,WM2-052422-D-B-A-1,WM2,52422,3,D,B,A,Gauze in PBS,WM2-3-D-B-A
WM2-3-D-E-B,NA,NA,WM2-052422-D-E-B-1,WM2,52422,3,D,E,B,Gauze in PBS,WM2-3-D-E-B
WM2-3-D-B-B,NA,NA,WM2-052422-D-B-B-1,WM2,52422,3,D,B,B,Gauze in PBS,WM2-3-D-B-B
WM2-3-D-E-C,NA,NA,WM2-052422-D-E-C-1,WM2,52422,3,D,E,C,Gauze in PBS,WM2-3-D-E-C
WM2-3-D-B-C,NA,NA,WM2-052422-D-B-C-1,WM2,52422,3,D,B,C,Gauze in PBS,WM2-3-D-B-C
WM2-3-D-B-U,NA,NA,WM2-052422-D-B-U-1,WM2,52422,3,D,B,U,Gauze in PBS,WM2-3-D-B-U
WM2-3-V-B-U,NA,NA,WM2-052422-V-B-U-1,WM2,52422,3,V,B,U,Gauze in PBS,WM2-3-V-B-U
WM2-3-V-B-C,NA,NA,WM2-052422-V-B-C-1,WM2,52422,3,V,B,C,Gauze in PBS,WM2-3-V-B-C
WM2-3-V-E-C,NA,NA,WM2-052422-V-E-C-1,WM2,52422,3,V,E,C,Gauze in PBS,WM2-3-V-E-C
WM2-3-V-B-B,NA,NA,WM2-052422-V-B-B-1,WM2,52422,3,V,B,B,Gauze in PBS,WM2-3-V-B-B
WM2-3-V-E-B,NA,NA,WM2-052422-V-E-B-1,WM2,52422,3,V,E,B,Gauze in PBS,WM2-3-V-E-B
WM2-3-V-B-A,NA,NA,WM2-052422-V-B-A-1,WM2,52422,3,V,B,A,Gauze in PBS,WM2-3-V-B-A
WM2-3-V-E-A,NA,NA,WM2-052422-V-E-A-1,WM2,52422,3,V,E,A,Gauze in PBS,WM2-3-V-E-A
WM2-3-V-E-U,NA,NA,WM2-052422-V-E-U-1,WM2,52422,3,V,E,U,Gauze in PBS,WM2-3-V-E-U
WM1-4-D-B-U,NA,NA,WM1-052822-D-B-U-1,WM1,52822,4,D,B,U,Gauze in PBS,WM1-4-D-B-U
WM1-4-D-E-C,NA,NA,WM1-052822-D-E-C-1,WM1,52822,4,D,E,C,Gauze in PBS,WM1-4-D-E-C
WM1-4-D-B-C,NA,NA,WM1-052822-D-B-C-1,WM1,52822,4,D,B,C,Gauze in PBS,WM1-4-D-B-C
WM1-4-D-B-B,NA,NA,WM1-052822-D-B-B-1,WM1,52822,4,D,B,B,Gauze in PBS,WM1-4-D-B-B
WM1-4-D-E-B,NA,NA,WM1-052822-D-E-B-1,WM1,52822,4,D,E,B,Gauze in PBS,WM1-4-D-E-B
WM1-4-D-B-A,NA,NA,WM1-052822-D-B-A-1,WM1,52822,4,D,B,A,Gauze in PBS,WM1-4-D-B-A
WM1-4-D-E-A,NA,NA,WM1-052822-D-E-A-1,WM1,52822,4,D,E,A,Gauze in PBS,WM1-4-D-E-A
WM1-4-D-E-U,NA,NA,WM1-052822-D-E-U-1,WM1,52822,4,D,E,U,Gauze in PBS,WM1-4-D-E-U
WM1-4-V-E-U,NA,NA,WM1-052822-V-E-U-1,WM1,52822,4,V,E,U,Gauze in PBS,WM1-4-V-E-U
WM1-4-V-B-A,NA,NA,WM1-052822-V-B-A-1,WM1,52822,4,V,B,A,Gauze in PBS,WM1-4-V-B-A
WM1-4-V-E-A,NA,NA,WM1-052822-V-E-A-1,WM1,52822,4,V,E,A,Gauze in PBS,WM1-4-V-E-A
WM1-4-V-B-B,NA,NA,WM1-052822-V-B-B-1,WM1,52822,4,V,B,B,Gauze in PBS,WM1-4-V-B-B
WM1-4-V-E-B,NA,NA,WM1-052822-V-E-B-1,WM1,52822,4,V,E,B,Gauze in PBS,WM1-4-V-E-B
WM1-4-V-B-C,NA,NA,WM1-052822-V-B-C-1,WM1,52822,4,V,B,C,Gauze in PBS,WM1-4-V-B-C
WM1-4-V-E-C,NA,NA,WM1-052822-V-E-C-1,WM1,52822,4,V,E,C,Gauze in PBS,WM1-4-V-E-C
WM1-4-V-B-U,NA,NA,WM1-052822-V-B-U-1,WM1,52822,4,V,B,U,Gauze in PBS,WM1-4-V-B-U
WM2-4-D-E-U,NA,NA,WM2-052822-D-E-U-1,WM2,52822,4,D,E,U,Gauze in PBS,WM2-4-D-E-U
WM2-4-D-E-A,NA,NA,WM2-052822-D-E-A-1,WM2,52822,4,D,E,A,Gauze in PBS,WM2-4-D-E-A
WM2-4-D-B-A,NA,NA,WM2-052822-D-B-A-1,WM2,52822,4,D,B,A,Gauze in PBS,WM2-4-D-B-A
WM2-4-D-E-B,NA,NA,WM2-052822-D-E-B-1,WM2,52822,4,D,E,B,Gauze in PBS,WM2-4-D-E-B
WM2-4-D-B-B,NA,NA,WM2-052822-D-B-B-1,WM2,52822,4,D,B,B,Gauze in PBS,WM2-4-D-B-B
WM2-4-D-E-C,NA,NA,WM2-052822-D-E-C-1,WM2,52822,4,D,E,C,Gauze in PBS,WM2-4-D-E-C
WM2-4-D-B-C,NA,NA,WM2-052822-D-B-C-1,WM2,52822,4,D,B,C,Gauze in PBS,WM2-4-D-B-C
WM2-4-D-B-U,NA,NA,WM2-052822-D-B-U-1,WM2,52822,4,D,B,U,Gauze in PBS,WM2-4-D-B-U
WM2-4-V-B-U,NA,NA,WM2-052822-V-B-U-1,WM2,52822,4,V,B,U,Gauze in PBS,WM2-4-V-B-U
WM2-4-V-B-C,NA,NA,WM2-052822-V-B-C-1,WM2,52822,4,V,B,C,Gauze in PBS,WM2-4-V-B-C
WM2-4-V-E-C,NA,NA,WM2-052822-V-E-C-1,WM2,52822,4,V,E,C,Gauze in PBS,WM2-4-V-E-C
WM2-4-V-B-B,NA,NA,WM2-052822-V-B-B-1,WM2,52822,4,V,B,B,Gauze in PBS,WM2-4-V-B-B
WM2-4-V-E-B,NA,NA,WM2-052822-V-E-B-1,WM2,52822,4,V,E,B,Gauze in PBS,WM2-4-V-E-B
WM2-4-V-B-A,NA,NA,WM2-052822-V-B-A-1,WM2,52822,4,V,B,A,Gauze in PBS,WM2-4-V-B-A
WM2-4-V-E-A,NA,NA,WM2-052822-V-E-A-1,WM2,52822,4,V,E,A,Gauze in PBS,WM2-4-V-E-A
WM2-4-V-E-U,NA,NA,WM2-052822-V-E-U-1,WM2,52822,4,V,E,U,Gauze in PBS,WM2-4-V-E-U
WM1-5-D-B-U,NA,NA,WM1-060122-D-B-U-1,WM1,60122,5,D,B,U,Gauze in PBS,WM1-5-D-B-U
WM1-5-D-E-C,NA,NA,WM1-060122-D-E-C-1,WM1,60122,5,D,E,C,Gauze in PBS,WM1-5-D-E-C
WM1-5-D-B-C,NA,NA,WM1-060122-D-B-C-1,WM1,60122,5,D,B,C,Gauze in PBS,WM1-5-D-B-C
WM1-5-D-B-B,NA,NA,WM1-060122-D-B-B-1,WM1,60122,5,D,B,B,Gauze in PBS,WM1-5-D-B-B
WM1-5-D-E-B,NA,NA,WM1-060122-D-E-B-1,WM1,60122,5,D,E,B,Gauze in PBS,WM1-5-D-E-B
WM1-5-D-B-A,NA,NA,WM1-060122-D-B-A-1,WM1,60122,5,D,B,A,Gauze in PBS,WM1-5-D-B-A
WM1-5-D-E-A,NA,NA,WM1-060122-D-E-A-1,WM1,60122,5,D,E,A,Gauze in PBS,WM1-5-D-E-A
WM1-5-D-E-U,NA,NA,WM1-060122-D-E-U-1,WM1,60122,5,D,E,U,Gauze in PBS,WM1-5-D-E-U
WM1-5-V-E-U,NA,NA,WM1-060122-V-E-U-1,WM1,60122,5,V,E,U,Gauze in PBS,WM1-5-V-E-U
WM1-5-V-B-A,NA,NA,WM1-060122-V-B-A-1,WM1,60122,5,V,B,A,Gauze in PBS,WM1-5-V-B-A
WM1-5-V-E-A,NA,NA,WM1-060122-V-E-A-1,WM1,60122,5,V,E,A,Gauze in PBS,WM1-5-V-E-A
WM1-5-V-B-B,NA,NA,WM1-060122-V-B-B-1,WM1,60122,5,V,B,B,Gauze in PBS,WM1-5-V-B-B
WM1-5-V-E-B,NA,NA,WM1-060122-V-E-B-1,WM1,60122,5,V,E,B,Gauze in PBS,WM1-5-V-E-B
WM1-5-V-B-C,NA,NA,WM1-060122-V-B-C-1,WM1,60122,5,V,B,C,Gauze in PBS,WM1-5-V-B-C
WM1-5-V-E-C,NA,NA,WM1-060122-V-E-C-1,WM1,60122,5,V,E,C,Gauze in PBS,WM1-5-V-E-C
WM1-5-V-B-U,NA,NA,WM1-060122-V-B-U-1,WM1,60122,5,V,B,U,Gauze in PBS,WM1-5-V-B-U
WM2-5-D-E-U,NA,NA,WM2-060122-D-E-U-1,WM2,60122,5,D,E,U,Gauze in PBS,WM2-5-D-E-U
WM2-5-D-E-A,NA,NA,WM2-060122-D-E-A-1,WM2,60122,5,D,E,A,Gauze in PBS,WM2-5-D-E-A
WM2-5-D-B-A,NA,NA,WM2-060122-D-B-A-1,WM2,60122,5,D,B,A,Gauze in PBS,WM2-5-D-B-A
WM2-5-D-E-B,NA,NA,WM2-060122-D-E-B-1,WM2,60122,5,D,E,B,Gauze in PBS,WM2-5-D-E-B
WM2-5-D-B-B,NA,NA,WM2-060122-D-B-B-1,WM2,60122,5,D,B,B,Gauze in PBS,WM2-5-D-B-B
WM2-5-D-E-C,NA,NA,WM2-060122-D-E-C-1,WM2,60122,5,D,E,C,Gauze in PBS,WM2-5-D-E-C
WM2-5-D-B-C,NA,NA,WM2-060122-D-B-C-1,WM2,60122,5,D,B,C,Gauze in PBS,WM2-5-D-B-C
WM2-5-D-B-U,NA,NA,WM2-060122-D-B-U-1,WM2,60122,5,D,B,U,Gauze in PBS,WM2-5-D-B-U
WM2-5-V-B-U,NA,NA,WM2-060122-V-B-U-1,WM2,60122,5,V,B,U,Gauze in PBS,WM2-5-V-B-U
WM2-5-V-B-C,NA,NA,WM2-060122-V-B-C-1,WM2,60122,5,V,B,C,Gauze in PBS,WM2-5-V-B-C
WM2-5-V-E-C,NA,NA,WM2-060122-V-E-C-1,WM2,60122,5,V,E,C,Gauze in PBS,WM2-5-V-E-C
WM2-5-V-B-B,NA,NA,WM2-060122-V-B-B-1,WM2,60122,5,V,B,B,Gauze in PBS,WM2-5-V-B-B
WM2-5-V-E-B,NA,NA,WM2-060122-V-E-B-1,WM2,60122,5,V,E,B,Gauze in PBS,WM2-5-V-E-B
WM2-5-V-B-A,NA,NA,WM2-060122-V-B-A-1,WM2,60122,5,V,B,A,Gauze in PBS,WM2-5-V-B-A
WM2-5-V-E-A,NA,NA,WM2-060122-V-E-A-1,WM2,60122,5,V,E,A,Gauze in PBS,WM2-5-V-E-A
WM2-5-V-E-U,NA,NA,WM2-060122-V-E-U-1,WM2,60122,5,V,E,U,Gauze in PBS,WM2-5-V-E-U
PBS-5-Neg-Neg-Neg,NA,NA,PBS-060122-Neg,PBS,60122,5,Neg,Neg,Neg,PBS no gauze,PBS-5-Neg-Neg-Neg
WM1-TP1-D,NA,NA,WM1-051822-M-D,WM1,51822,1,D,D,D,Swab,WM1-TP1-D
WM1-TP1-V,NA,NA,WM1-051822-M-V,WM1,51822,1,V,V,V,Swab,WM1-TP1-V
WM1-TP1-Neg,NA,NA,WM1-051822-M-Neg,WM1,51822,1,Neg,Neg,Neg,Swab,WM1-TP1-Neg
WM1-TP2-D,NA,NA,WM1-052022-M-D,WM1,52022,2,D,D,D,Swab,WM1-TP2-D
WM1-TP2-V,NA,NA,WM1-052022-M-V,WM1,52022,2,V,V,V,Swab,WM1-TP2-V
WM1-TP2-Neg,NA,NA,WM1-052022-M-Neg,WM1,52022,2,Neg,Neg,Neg,Swab,WM1-TP2-Neg
WM1-TP3-D,NA,NA,WM1-052422-M-D,WM1,52422,3,D,D,D,Swab,WM1-TP3-D
WM1-TP3-V,NA,NA,WM1-052422-M-V,WM1,52422,3,V,V,V,Swab,WM1-TP3-V
WM1-TP3-F,NA,NA,WM1-052422-M-F,WM1,52422,3,F,F,F,Swab,WM1-TP3-F
WM1-TP3-Neg,NA,NA,WM1-052422-M-Neg,WM1,52422,3,Neg,Neg,Neg,Swab,WM1-TP3-Neg
WM1-TP4-D,NA,NA,WM1-052822-M-D,WM1,52822,4,D,D,D,Swab,WM1-TP4-D
WM1-TP4-V,NA,NA,WM1-052822-M-V,WM1,52822,4,V,V,V,Swab,WM1-TP4-V
WM1-TP4-F,NA,NA,WM1-052822-M-F,WM1,52822,4,F,F,F,Swab,WM1-TP4-F
WM1-TP4-Neg,NA,NA,WM1-052822-M-Neg,WM1,52822,4,Neg,Neg,Neg,Swab,WM1-TP4-Neg
WM1-TP5-D,NA,NA,WM1-060122-M-D,WM1,60122,5,D,D,D,Swab,WM1-TP5-D
WM1-TP5-V,NA,NA,WM1-060122-M-V,WM1,60122,5,V,V,V,Swab,WM1-TP5-V
WM1-TP5-F,NA,NA,WM1-060122-M-F,WM1,60122,5,F,F,F,Swab,WM1-TP5-F
WM1-TP5-Neg,NA,NA,WM1-060122-M-Neg,WM1,60122,5,Neg,Neg,Neg,Swab,WM1-TP5-Neg
WM2-TP1-D,NA,NA,WM2-051822-M-D,WM2,51822,1,D,D,D,Swab,WM2-TP1-D
WM2-TP1-V,NA,NA,WM2-051822-M-V,WM2,51822,1,V,V,V,Swab,WM2-TP1-V
WM2-TP1-Neg,NA,NA,WM2-051822-M-Neg,WM2,51822,1,Neg,Neg,Neg,Swab,WM2-TP1-Neg
WM2-TP2-D,NA,NA,WM2-052022-M-D,WM2,52022,2,D,D,D,Swab,WM2-TP2-D
WM2-TP2-V,NA,NA,WM2-052022-M-V,WM2,52022,2,V,V,V,Swab,WM2-TP2-V
WM2-TP2-F,NA,NA,WM2-052022-M-F,WM2,52022,2,F,F,F,Swab,WM2-TP2-F
WM2-TP2-Neg,NA,NA,WM2-052022-M-Neg,WM2,52022,2,Neg,Neg,Neg,Swab,WM2-TP2-Neg
WM2-TP3-D,NA,NA,WM2-052422-M-D,WM2,52422,3,D,D,D,Swab,WM2-TP3-D
WM2-TP3-V,NA,NA,WM2-052422-M-V,WM2,52422,3,V,V,V,Swab,WM2-TP3-V
WM2-TP3-F,NA,NA,WM2-052422-M-F,WM2,52422,3,F,F,F,Swab,WM2-TP3-F
WM2-TP3-Neg,NA,NA,WM2-052422-M-Neg,WM2,52422,3,Neg,Neg,Neg,Swab,WM2-TP3-Neg
WM2-TP4-D,NA,NA,WM2-052822-M-D,WM2,52822,4,D,D,D,Swab,WM2-TP4-D
WM2-TP4-V,NA,NA,WM2-052822-M-V,WM2,52822,4,V,V,V,Swab,WM2-TP4-V
WM2-TP4-F,NA,NA,WM2-052822-M-F,WM2,52822,4,F,F,F,Swab,WM2-TP4-F
WM2-TP4-Neg,NA,NA,WM2-052822-M-Neg,WM2,52822,4,Neg,Neg,Neg,Swab,WM2-TP4-Neg
WM2-TP5-D,NA,NA,WM2-060122-M-D,WM2,60122,5,D,D,D,Swab,WM2-TP5-D
WM2-TP5-V,NA,NA,WM2-060122-M-V,WM2,60122,5,V,V,V,Swab,WM2-TP5-V
WM2-TP5-F,NA,NA,WM2-060122-M-F,WM2,60122,5,F,F,F,Swab,WM2-TP5-F
WM2-TP5-Neg,NA,NA,WM2-060122-M-Neg,WM2,60122,5,Neg,Neg,Neg,Swab,WM2-TP5-Neg
Positive control,NA,NA,Zymo Extraction Positive Control,Zymo Extraction Positive Control,,,Pos,Pos,Pos,Positive control,Positive control