Row Labels,Actinobacteriota,Bacteroidota,Campilobacterota,Chloroflexi,Cyanobacteria,Deinococcota,Desulfobacterota,Elusimicrobiota,Fibrobacterota,Firmicutes,Fusobacteriota,Patescibacteria,Planctomycetota,Proteobacteria,Spirochaetota,Verrucomicrobiota
Kalan16S006-218,0.10984432,0.077087794,0.001041727,0.001157474,0,0.001736212,0,0.000578737,0,0.749291047,0,0.000752358,0,0.05289658,0.004745645,0.000868106
Kalan16S006-219,0.065171781,0.009244689,0,0.002884868,0,0.00203252,0,0,0,0.88729347,0,0.000458956,0,0.032520325,0,0.000393391
Kalan16S006-221,0.07748379,0.055978414,0,0.002657968,0.000201361,0.002174701,0,0,0,0.807458419,0,0,0,0.053320446,0,0.0007249
Kalan16S006-222,0.061845921,0.003404363,0,0.000819569,0,0.000693481,0,0,0,0.90675829,0,0.000819569,0,0.025154457,0.00050435,0
Kalan16S006-224,0.133764496,0.054772525,0.000847458,0.001828724,0,0.003166815,0,0.00044603,0,0.733942908,0,0,0,0.070026762,0,0.001204282
Kalan16S006-225,0.027261991,0.038153664,0.000984187,0.000328062,0,0,0,0,0,0.780788662,0,0,0.000459287,0.148415458,0,0.003608687
Kalan16S006-226,0.024624948,0.250433327,0,0,0.000418385,0,0.00675393,0.000777001,0,0.648556572,0.0235491,0,0,0.039208655,0.000179308,0.005498775
Kalan16S006-228,0.040524675,0.049917007,0.001497915,0,0,0,0,0.000323874,0,0.722116514,0,0,0.000242905,0.183352901,0,0.00202421
Kalan16S006-229,0.043435096,0.060229999,0,0,0,0.000992802,0,0,0,0.629602052,0,0.006453214,0,0.259286837,0,0
Kalan16S006-230,0.018480932,0.146298472,0.000320479,0,0,0,0.005982267,0.001281914,0,0.791101378,0.001762632,0,0,0.029377203,0,0.005394723
Kalan16S006-232,0.095413905,0.081580001,0.003558561,0.000845158,0,0,0.00133446,0,0,0.69703305,0,0.000489302,0.000489302,0.116053556,0,0.003202705
Kalan16S006-233,0.079530403,0.055568934,0,0,0,0,0.001986755,0.000842866,0,0.690848886,0,0.000421433,0.000421433,0.162733293,0.004093919,0.003552077
Kalan16S006-234,0.141499244,0.102469936,0,0,0,0,0.009937351,0.001152157,0,0.723554403,0.010081371,0,0,0.008281126,0.003024411,0
Kalan16S006-236,0.126123657,0.061390046,0.001205876,0.002192502,0.000164438,0.002740627,0.001151063,0.000712563,0,0.746711248,0,0,0,0.055579917,0,0.002028064
Kalan16S006-237,0.137324174,0.044160942,0,0.004317959,0,0.003859993,0.000523389,0.001046778,0,0.744259078,0,0.000915931,0,0.061040236,0,0.002551521
Kalan16S006-239,0.160044442,0.040526956,0,0,0,0,0,0.001375589,0,0.724882281,0,0,0,0.071424792,0.001216867,0.000529073
Kalan16S006-240,0.094073065,0.067978593,0,0,0.000166207,0.000831034,0.002027723,0.00219393,0,0.786490709,0,0.000930758,0,0.041485224,0.000199448,0.003623309
Kalan16S006-241,0.017426012,0.315323209,0.000438084,0,0.002141745,0,0.000292056,0.009929907,0.000292056,0.604215343,0,0,0,0.030227804,0.008080218,0.011633567
Kalan16S006-243,0.147042397,0.026301092,0,0.001929424,0,0.001675552,0,0,0,0.76547347,0,0,0,0.057171871,0.000406194,0
Kalan16S006-244,0.070223493,0.095748482,0,0,0,0.000595451,0.001429082,0.000714541,0.000476361,0.805089119,0,0.000158787,0,0.021475924,0.000277877,0.003810885
Kalan16S006-245,0.015980332,0.291286464,0.007611933,0,0.000283675,0,0.006477235,0.000756465,0.000236395,0.658881377,0,0,0.00052007,0.014183727,0.000141837,0.00364049
Kalan16S006-247,0.060007154,0.088982293,0,0,0,0,0.003398319,0.001207297,0.000313003,0.8043731,0.000313003,0,0,0.038633518,0,0.002772313
Kalan16S006-248,0.024038204,0.124322584,0.007619252,0,0.000590224,0,0.000697537,0.001985298,0,0.756881472,0,0,0.00048291,0.071363417,0.009336267,0.002682835
Kalan16S006-249,0.028047152,0.194588003,0.001103304,0,0.001800128,0,0.004122873,0.004471285,0.000580686,0.733464956,0,0,0.001219441,0.020904709,0,0.009697462
Kalan16S006-251,0.068818444,0.065129683,0.003342939,0,0,0,0,0,0.001037464,0.813025937,0,0,0,0.048645533,0,0
Kalan16S006-252,0.046380798,0.145455682,0,0,0.00056257,0,0.000312539,0,0.000500063,0.70927616,0,0,0,0.080135017,0.011188899,0.006188274
Kalan16S006-253,0.031679411,0.182832174,0.004139596,0,0,0,0.000344966,0.006554361,0,0.744437417,0.000632438,0,0.001609843,0.013626171,0.00051745,0.013626171