Row Labels,[Anaerorhabdus]_furcosa_group,[Clostridium]_methylpentosum_group,[Eubacterium]_brachy_group,[Eubacterium]_coprostanoligenes_group,[Eubacterium]_eligens_group,[Eubacterium]_hallii_group,[Eubacterium]_nodatum_group,[Eubacterium]_ruminantium_group,[Eubacterium]_siraeum_group,[Ruminococcus]_torques_group,Acetitomaculum,Acidaminococcus,Acinetobacter,Actinobacillus,Adlercreutzia,Aerococcus,Aeromonas,Akkermansia,Aliicoccus,Alistipes,Allisonella,Alloiococcus,Alloprevotella,Anaerococcus,Anaeroplasma,Anaerostipes,Anaerovibrio,Anaerovorax,Arcobacter,Atopostipes,Bacillus,Bacteroidales_RF16_group,Bacteroides,Bergeyella,Bifidobacterium,Bilophila,Blautia,Brachybacterium,Brevibacterium,Breznakia,Butyricicoccus,Butyricimonas,Butyrivibrio,CAG-352,Campylobacter,Candidatus_Saccharimonas,Candidatus_Soleaferrea,Candidatus_Stoquefichus,Carnobacterium,Cellulosilyticum,Christensenellaceae_R-7_group,Chryseobacterium,Clostridia_UCG-014,Clostridia_vadinBB60_group,Clostridium_sensu_stricto_1,Clostridium_sensu_stricto_6,Colidextribacter,Collinsella,Comamonas,Coprococcus,Corynebacterium,Cutibacterium,Defluviitaleaceae_UCG-011,Deinococcus,Dermabacter,Dermatophilus,Desemzia,Desulfovibrio,dgA-11_gut_group,Dialister,Dietzia,DNF00809,Dorea,Elusimicrobium,EMP-G18,Empedobacter,Enterococcus,Enterorhabdus,Erysipelatoclostridium,Erysipelothrix,Erysipelotrichaceae_UCG-003,Erysipelotrichaceae_UCG-009,Escherichia-Shigella,Exiguobacterium,Facklamia,Faecalibacterium,Faecalicoccus,Family_XIII_AD3011_group,Family_XIII_UCG-001,Fastidiosipila,Fenollaria,Fibrobacter,Finegoldia,Flaviflexus,Flavobacterium,Frisingicoccus,Fusobacterium,Gallicola,Gastranaerophilales,Gemella,Globicatella,Glutamicibacter,Helcococcus,Helicobacter,Holdemanella,Hydrogenoanaerobacterium,Ignatzschineria,Incertae_Sedis,Izemoplasmatales,Jeotgalibaca,Jeotgalicoccus,JG30-KF-CM45,Kocuria,Kurthia,Lachnoclostridium,Lachnospira,Lachnospiraceae_FCS020_group,Lachnospiraceae_ND3007_group,Lachnospiraceae_NK4A136_group,Lachnospiraceae_NK4B4_group,Lachnospiraceae_UCG-003,Lachnospiraceae_UCG-007,Lachnospiraceae_UCG-010,Lactobacillus,Lactococcus,Luteococcus,Lysobacter,Macrococcus,Marinospirillum,Marvinbryantia,Megasphaera,Micrococcus,Mitsuokella,Monoglobus,Moraxella,Moryella,Murdochiella,Muribaculaceae,Myroides,Negativibacillus,Neisseria,NK4A214_group,Odoribacter,Olsenella,Ornithinimicrobium,Oscillibacter,Oscillospira,Oxalobacter,p-1088-a5_gut_group,Paludicola,Parabacteroides,Paracoccus,Parasutterella,Parvimonas,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Prevotellaceae_NK3B31_group,Prevotellaceae_UCG-001,Prevotellaceae_UCG-003,Propionimicrobium,Proteiniclasticum,Proteus,Pseudomonas,Pseudoscardovia,Psychrobacter,RF39,Rikenellaceae_RC9_gut_group,Romboutsia,Roseburia,Rothia,Ruminobacter,Ruminococcaceae,Ruminococcus,S5-A14a,Sanguibacteroides,Sarcina,Sharpea,Solibacillus,Solobacterium,Sphaerochaeta,Sphingobacterium,Staphylococcus,Streptococcus,Subdoligranulum,Succinivibrio,Sutterella,T2WK15B57,Taibaiella,Terrisporobacter,Tessaracoccus,TM7a,Treponema,Trichococcus,Trueperella,Turicibacter,UBA1819,UCG-001,UCG-002,UCG-004,UCG-005,UCG-008,UCG-009,UCG-010,uncultured,vadinBE97,Veillonella,Victivallaceae,Victivallis,W5053,WCHB1-41
Kalan16S006-218,0.000289369,0,0,0.004919266,0,0.001851959,0.001388969,0.001099601,0.000347242,0,0.002430696,0,0.015741652,0.003067307,0,0.013079461,0,0.000405116,0.000173621,0.00046299,0,0.001620464,0.001504717,0,0,0,0.00046299,0,0.000636611,0.002662191,0,0.002257075,0.004687771,0.00156259,0.000868106,0,0.002372823,0.004919266,0,0,0,0,0,0,0,0.000752358,0,0,0,0.001041727,0.027895133,0.001388969,0.006886973,0.003298802,0.009838532,0,0,0,0,0.001099601,0.064355576,0,0,0.001736212,0,0.001099601,0,0,0.005382256,0,0,0,0,0.000578737,0,0,0.002662191,0.004803519,0,0,0.000520863,0,0,0,0.008333816,0.000810232,0,0.011458996,0.000868106,0,0,0,0,0.001388969,0.001504717,0.006829099,0,0.000115747,0,0,0.001620464,0.001099601,0.001099601,0.000405116,0.000405116,0,0.000289369,0.000694485,0.001620464,0.026390416,0.016783379,0.001157474,0.016725505,0,0.002083454,0,0,0,0.003819665,0,0,0.001041727,0.000636611,0.093523931,0,0.000983853,0.000752358,0.001388969,0,0,0.001273222,0,0,0.003414549,0.007755078,0,0,0.015683778,0.001157474,0.001331096,0.002141328,0.00451415,0,0,0,0.001215348,0,0,0,0.000810232,0.003646044,0.001446843,0.000231495,0,0,0,0,0.000173621,0.001041727,0.007118468,0.005613751,0.004687771,0.002604317,0,0.000636611,0,0.001736212,0,0.019040454,0.000289369,0.014642051,0.013600324,0,0.009664911,0.000173621,0,0.00949129,0,0,0.000578737,0,0.006944846,0.001388969,0.000231495,0.000347242,0.003530297,0.323803461,0,0.000520863,0,0,0,0.025348689,0.003067307,0,0.00451415,0,0.000405116,0,0,0,0.008449563,0.000520863,0.035708085,0.00202558,0.00248857,0.004224782,0.033740378,0,0,0,0,0.000578737,0.00046299
Kalan16S006-219,0,0,0,0.001573564,0,0.000721217,0,0.000590087,0,0,0.000852347,0,0.00190139,0.001966955,0,0.307566221,0,0.000393391,0,0,0,0,0,0.000590087,0,0,0.000721217,0,0,0,0,0,0.001507999,0.000852347,0,0,0,0.002753737,0.000786782,0.000196696,0,0,0,0,0,0,0,0,0,0.002425911,0.006949908,0,0.001704694,0.001049043,0.032061369,0.00190139,0.000393391,0.000393391,0.003606084,0.000655652,0.040388146,0,0,0.00203252,0,0,0,0,0.00013113,0,0.000655652,0,0,0,0,0,0.001180173,0.002294781,0,0,0,0,0,0,0.010621558,0,0,0.002688172,0.000590087,0.000655652,0,0,0,0,0.000262261,0.001835825,0,0,0,0,0.000852347,0,0.000524521,0,0,0.000327826,0,0.000196696,0.001114608,0.000852347,0.008130081,0.002884868,0.009047994,0.000655652,0.001049043,0,0.000458956,0,0,0.001180173,0,0.00190139,0,0.00570417,0,0,0.004196171,0,0,0,0,0.00203252,0,0.000458956,0.008457907,0,0.000196696,0.001311303,0.000196696,0,0.001573564,0.005900865,0,0,0,0.00177026,0,0,0,0.000721217,0,0.000655652,0,0,0,0,0.000393391,0.004982953,0,0.000721217,0.001114608,0.000852347,0,0.000983478,0,0.001573564,0,0,0.008261212,0,0.000721217,0.019079465,0,0.004655127,0,0,0.004065041,0,0,0,0,0,0,0,0.000852347,0.111198531,0.271505376,0,0.000327826,0,0,0,0.004589562,0.000852347,0.000458956,0,0,0,0.034749541,0,0,0.007146604,0,0.006228691,0.001114608,0.000393391,0.002557042,0.010818253,0,0,0,0,0,0
Kalan16S006-221,0,0,0,0.005195119,0,0.002094156,0.000442995,0.000684628,0,0,0,0,0.008215537,0.006081108,0.000201361,0.002255245,0,0,0.000241633,0,0,0.002174701,0,0,0,0,0.000322178,0,0,0.002214973,0.001127623,0.001047078,0.001731706,0.001409528,0.00197334,0,0,0.003705046,0.003342596,0,0,0,0,0,0,0,0.001771979,0,0,0.001651162,0.019491764,0.000644356,0.009020982,0.000765173,0.021867827,0.000563811,0,0.000885989,0.000604084,0.002094156,0.005920019,0,0,0.002174701,0.002376062,0.001369256,0,0,0.003785591,0,0.000604084,0.000604084,0.001248439,0,0,0,0.003342596,0.003382868,0,0,0.000926262,0,0.002053884,0,0.009947243,0,0,0.011195683,0.000201361,0,0,0,0,0.000563811,0.002456607,0,0,0.000684628,0.000201361,0,0.001892795,0.000966534,0,0,0,0,0,0,0.00197334,0.02174701,0.01240385,0.002657968,0.01635053,0.000523539,0,0.000281906,0,0,0.002939874,0,0,0.000885989,0.001167895,0.064677218,0,0.001328984,0.001852523,0,0,0,0,0,0,0.002496879,0.02049857,0.000241633,0,0.012524667,0.000402722,0,0.003785591,0.006725464,0,0,0,0.000241633,0.000805445,0,0,0.000604084,0.000281906,0.001651162,0,0.000201361,0,0,0,0,0.000765173,0.003543957,0.009302888,0.00161089,0,0,0,0,0,0,0.008577987,0.000161089,0.0127663,0.017639241,0.001731706,0.024485522,0,0,0.010551327,0,0,0.000281906,0,0.005074302,0.003020418,0,0.00036245,0.003221779,0.368974266,0,0,0,0.000120817,0.000120817,0.04385647,0.00233579,0,0,0,0.000563811,0.049494583,0,0.001812251,0.014538279,0.000322178,0.028150296,0.00197334,0.002174701,0.005114575,0.037654545,0,0,0,0,0,0.0007249
Kalan16S006-222,0,0,0,0.000945656,0,0,0,0,0,0,0.000756525,0,0.011852225,0.000378263,0,0.540537133,0,0,0,0,0,0,0,0.000567394,0,0.000630438,0,0,0,0.000189131,0,0,0,0,0,0,0,0.0020174,0.000567394,0,0,0,0,0,0,0,0.000252175,0,0,0.001197831,0.002647838,0,0,0,0.064998109,0.004097844,0,0.000315219,0.002458706,0,0.043500189,0,0,0.000693481,0,0,0,0,0.000819569,0,0.0010087,0,0,0,0,0,0,0.001891313,0,0,0,0,0,0,0.009834825,0,0,0.002143488,0,0,0,0,0.000315219,0,0,0.000945656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002269575,0.00252175,0.000819569,0.002773925,0,0.001071744,0,0,0,0,0,0,0.001450006,0,0.057306771,0,0,0.001071744,0,0,0,0.001071744,0,0.000882613,0,0,0,0,0.000945656,0,0,0.001891313,0.000945656,0,0,0,0,0,0,0,0,0,0.002710881,0,0,0,0,0,0.001828269,0,0.001323919,0,0,0.000315219,0,0,0.0020174,0,0,0.00252175,0,0,0.012293532,0,0.008195688,0,0,0.000567394,0,0,0,0,0,0.001260875,0,0,0.07577859,0.052137183,0,0,0,0,0,0.022443576,0,0.000819569,0.00050435,0,0.000756525,0.029756651,0,0,0.003467406,0,0.004476106,0,0,0.000945656,0.005295675,0,0,0,0,0,0
Kalan16S006-224,0,0,0,0.006155219,0,0.00191793,0.001873327,0.000936664,0.000981267,0,0.002676182,0,0.012310437,0.002408564,0,0.015254237,0,0.000267618,0,0.000579839,0,0.002230152,0.000579839,0.000356824,0,0.000892061,0.000624442,0,0.000847458,0.002230152,0.016681534,0.000713649,0.0014719,0.002899197,0.000535236,0,0.002676182,0.005530776,0.001382694,0.000267618,0,0,0,0,0,0,0,0,0,0.001427297,0.042908118,0.003300624,0.005084746,0.000936664,0.11677074,0.000802855,0.000669045,0.000490633,0,0.003166815,0.059991079,0,0,0.003166815,0.002899197,0.001739518,0,0,0.003211418,0,0.000669045,0,0.003211418,0.00044603,0,0,0.002676182,0.004460303,0,0.001159679,0,0,0,0,0.010392507,0,0,0.012221231,0.000401427,0,0,0,0,0.001828724,0.000847458,0.011106155,0,0.000624442,0,0.001248885,0.002319358,0.000669045,0,0,0.000133809,0,0,0.000401427,0.001293488,0.002274755,0,0.001828724,0.011864407,0,0.001115076,0.001204282,0,0,0,0,0,0.002676182,0.000624442,0.142105263,0,0,0.001293488,0,0.00044603,0,0.000267618,0.002542373,0,0.005619982,0.027966102,0,0.000535236,0.014540589,0,0,0.0029438,0.004281891,0,0,0,0.003033006,0,0,0,0.000669045,0.000490633,0.001828724,0.00044603,0,0,0,0,0.000892061,0,0.003479037,0.004683318,0.005218555,0.000356824,0,0.001115076,0,0.000401427,0,0.018911686,0.00044603,0.010124888,0.025156111,0.000267618,0.032292596,0,0,0.012756467,0,0,0,0,0,0.002007136,0,0,0.016993756,0.06926851,0,0.001070473,0,0,0,0.014629795,0.002363961,0,0,0,0.000312221,0.056422837,0,0.000847458,0.023907226,0.000267618,0.033006244,0.001204282,0,0.005040143,0.03661909,0,0,0,0,0.00044603,0.000936664
Kalan16S006-225,0,0,0,0.003805525,0,0,0,0.000360869,0.00026245,0,0.00078735,0.000295256,0.136933272,0,0,0.506101962,0,0.000196837,0,0.001509087,0.000164031,0,0.001738731,0,0,0,0.001246637,0,0.000984187,0,0,0.000459287,0.003641493,0.000164031,0.005937931,0,0.000951381,0,0,0.000393675,0,0,0,0,0,0,0.001082606,0,0.000754544,0.000688931,0.01922446,0,0.004002362,0.001476281,0.054491175,0.001705925,0,0.001607506,0.002394856,0.000393675,0.009415393,0,0,0,0,0,0.000229644,0,0.002558887,0.000623319,0,0,0,0,0,0.000393675,0.003280625,0.000721737,0,0,0,0,0,0,0.003838331,0,0,0.00288695,0.000393675,0,0,0,0,0,0,0.0020996,0,0,0,0,0.000328062,0.000623319,0,0,0.000196837,0,0,0,0,0.007118955,0.001148219,0.000328062,0.001443475,0,0.000492094,0.000459287,0,0,0.0020996,0.000328062,0,0.000426481,0,0.03618529,0,9.84187E-05,0.000459287,0,0,0.000590512,0.000918575,0,0.002198019,0.001213831,0.001410669,0,0,0.01013713,0,0,0,0.001804344,0,0,0,0.000721737,0.001082606,9.84187E-05,0.000459287,0.000229644,0.001345056,0,0,0,0,0,0,0,0,0.003477462,0.001082606,0.006331606,0.000196837,0.000459287,0,0.000459287,0,0,0.006069156,0,0.004920937,0,0.000820156,0.006069156,0,0.000590512,0.005019356,0,0.000196837,0,0,0.0005249,0.001705925,0,0,0.026212191,0.006659668,0.000131225,0,0,0,0,0.002263631,0.000229644,0,0,0,0.000360869,0.034282527,0,0,0.013319336,9.84187E-05,0.011350961,0.000590512,0.000590512,0.004428843,0.004002362,0,0,0,0.00026245,0,0.0031494
Kalan16S006-226,0.000478154,0,0.000418385,0.009383779,0,0.000657462,0.001195386,0,0,0.012192935,0.002749387,0,0.005678083,0.000119539,0,0.237164545,0,0.000478154,0,0.003705696,0.000777001,0,0.009861933,0.021337637,0,0,0.003108003,0,0,0.000298846,0,0.001852848,0.034008726,0,0.005737852,0,0.001494232,0,0,0.000358616,0.000657462,0.001613771,0,0,0,0,0.00167354,0,0,0.000298846,0.022473253,0,0.005618313,0.004542466,0.045364892,0.000896539,0,0.002151694,0.000478154,0.001972387,0.006455083,0,0,0,0,0.000478154,0,0.00675393,0.002450541,0,0,0,0,0.000777001,0,0,0.013627398,0,0.008009085,0,0,0,0.017153786,0,0.00167354,0,0,0.006455083,0.000657462,0,0.002868926,0,0,0,0,0.004542466,0.0235491,0,0.000418385,0,0,0,0,0,0.001075847,0,0,0.000358616,0.000179308,0.003825235,0,0,0.001972387,0.000717231,0.004303389,0.000896539,0,0,0.001972387,0,0,0.000597693,0,0.026776642,0,0,0,0,0,0.000478154,0.009742394,0,0.002151694,0.001434463,0.003108003,0,0,0.021995099,0,0,0,0.014464168,0,0,0,0.002570079,0.002570079,0.000239077,0,0,0.004124081,0,0.001912617,0,0.001314924,0,0,0.008905624,0.14237045,0.006933238,0.001613771,0.005439005,0.000179308,0,0,0,0,0,0.001135617,0,0.014045783,0.007770008,0,0.005140159,0,0,0.005140159,0.003825235,0,0,0,0,0.00167354,0,0,0.00591716,0.019305481,0,0.007291853,0,0,0,0.001494232,0,0,0.000179308,0,0.00167354,0.025222641,0.002809157,0,0.018289403,0.001314924,0.031737493,0.000478154,0.001972387,0.008009085,0.015002092,0,0.004662005,0,0.000597693,0,0.004422927
Kalan16S006-228,0.000202421,0,0,0.008542164,0,0.001457431,0.000283389,0.001335978,0.000364358,0,0.002186146,0.002105178,0.159750617,0.000283389,0,0.141694668,0.000931136,0.000202421,0,0.001093073,0,0,0.002469536,0,0.000242905,0,0.002348083,0,0.001497915,0.000283389,0.052224606,0.000404842,0.003724546,0.00048581,0.010606858,0,0.002631472,0.000971621,0,0.000242905,0,0,0,0,0,0,0.001619368,0,0,0.002833893,0.03178009,0,0.006598923,0.00174082,0.085016801,0.001821789,0.001012105,0.003684061,0.001295494,0.003117283,0.006922797,0,0,0,0,0,0.001376462,0,0,0,0,0.000242905,0.002914862,0.000323874,0,0,0.003805514,0,0,0,0,0,0,0,0.002226631,0,0,0.008339743,0.00048581,0,0,0,0,0,0,0.003441156,0,0,0,0,0.000404842,0.001700336,0,0,0.000850168,0.000242905,0,0.000445326,0,0.006882312,0.002469536,0,0,0.002429051,0.001538399,0.0007692,0,0,0.00299583,0.000445326,0,0.001781304,0,0.04028177,0,0,0,0,0,0.000688231,0,0.000728715,0.003441156,0.002064694,0.003562609,0,0,0.013724141,0,0,0.000364358,0.015707866,0,0,0,0.000971621,0.002186146,0.000404842,0.000242905,0,0.001862273,0,0,0,0,0,0,0,0.000445326,0.012469131,0.005141492,0.002671957,0.000890652,0,0.000445326,0.000404842,0,0,0.010040079,0,0.003926967,0,0.000688231,0.01352172,0.000202421,0,0.006963281,0,0,0,0,0,0.001943241,0,0,0.097688353,0.025869398,0,0.005384397,0.000283389,0,0,0.025100198,0.000323874,0,0,0,0,0.031942027,0,0.000607263,0.023035505,0,0.027164892,0.001983725,0.001457431,0.004534229,0.014695761,0,0,0,0,0,0.001821789
Kalan16S006-229,0,0,0,0.007115082,0,0.003640275,0,0.000910069,0,0,0,0,0.251427153,0,0,0.138413171,0,0,0,0.005046744,0,0,0,0,0,0,0,0,0,0,0,0,0.001571937,0,0.016050302,0,0,0,0,0,0,0,0,0,0,0,0.000496401,0,0.002399272,0.002895673,0.031107802,0,0.005129478,0,0.011830893,0,0,0,0.003888475,0.007032349,0.013402829,0.003309341,0,0.000992802,0,0,0,0,0.001820137,0.008687019,0,0,0,0,0,0.011417225,0.003309341,0,0,0,0,0,0,0,0,0,0,0.006701415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008521552,0,0,0,0,0.001075536,0,0,0,0.001902871,0,0,0,0,0.096632746,0,0,0,0,0,0,0,0,0.007032349,0.003557541,0.00165467,0,0,0.005956813,0,0,0,0.003971209,0,0,0,0,0,0,0,0,0.003474808,0.001323736,0,0,0,0,0.001323736,0.002895673,0,0.005708613,0.003640275,0.006618681,0.001820137,0,0,0,0,0,0,0.000910069,0.013154629,0,0,0.010672623,0,0,0.000413668,0,0,0,0,0,0,0,0,0.068172417,0.088359394,0,0,0,0,0,0,0,0.006453214,0,0,0,0.060891867,0,0,0.009100687,0,0.025978324,0,0.004384876,0.004136676,0.011665426,0,0,0,0,0,0
Kalan16S006-230,0.000908023,0,0.000534131,0.018053627,0,0.003204786,0.003418438,0.002136524,0.00379233,0,0.00293772,0.002189937,0,0,0,0.002563829,0,0,0,0,0,0,0.0044867,0.001014849,0,0,0.000534131,0,0,0,0,0.002724068,0.027667984,0,0.0089734,0,0.001335327,0,0,0,0,0.000480718,0,0,0.000320479,0,0.004379874,0.000320479,0,0.00224335,0.089093046,0,0.027721397,0.007103942,0.151479543,0.000801196,0.00154898,0.001976285,0,0.015329559,0.001281914,0,0.002563829,0,0,0,0,0.005982267,0.009347292,0,0,0,0,0.001281914,0,0,0,0.003471851,0.009293879,0,0,0,0.02483709,0,0,0,0.001175088,0.017092191,0.000320479,0,0.000640957,0,0,0,0,0.011697468,0.001762632,0,0,0,0,0,0,0,0.001281914,0,0,0.003632091,0.000320479,0,0,0,0,0,0.001976285,0,0,0.000427305,0,0,0,0,0,0.125307125,0,0,0,0,0,0.000801196,0.003258199,0,0.001068262,0,0,0.000480718,0,0.047804722,0,0,0,0.04000641,0.000534131,0,0,0.005394723,0,0.00069437,0,0,0.013780579,0,0.001869458,0,0,0,0,0.000427305,0.005234483,0.0044867,0.002457002,0.005287897,0.001922871,0,0,0,0,0,0,0.002350176,0.020083324,0,0.000373892,0,0,0,0.016931952,0,0,0,0,0,0.004914005,0,0,0,0.037068689,0,0.001976285,0,0,0,0.002457002,0,0,0,0,0,0.026653135,0,0.001922871,0.018480932,0.001922871,0.063134281,0.008332443,0.002724068,0.018213866,0.018587758,0,0,0.000587544,0,0,0.004807179
Kalan16S006-232,0,0,0.000400338,0.009074329,0,0.000845158,0.002802366,0.000934122,0.00088964,0,0,0.000622748,0.088385748,0.002757884,0,0.073261866,0,0,0,0.000578266,0,0.000355856,0.001957208,0,0,0,0.005248877,0,0.003558561,0,0.005293359,0.002135136,0.004981985,0,0.01107602,0,0.003558561,0.001690316,0.00111205,0.00066723,0,0.000489302,0,0,0,0.00022241,0,0,0,0,0.043058583,0.000978604,0.013567012,0.00133446,0.007161603,0.001467906,0,0.006627819,0,0.001423424,0.035185268,0,0,0,0,0.001067568,0.000756194,0.00133446,0.003158222,0,0.000355856,0,0.005871625,0,0,0.003469597,0.003469597,0,0,0.000578266,0,0,0,0,0.003024776,0,0,0.006449891,0,0,0,0,0,0.000266892,0.002357546,0.008318135,0,0,0,0.000266892,0.001067568,0.002535474,0,0,0,0,0.00022241,0.000400338,0,0.00088964,0,0.000845158,0.004359237,0,0,0.000578266,0,0,0.004848539,0,0.000355856,0.000311374,0.000800676,0.013922868,0,0,0,0,0,0.000711712,0.030114319,0,0.008807437,0.003558561,0.018860371,0,0,0.026778168,0,0.002090654,0.001156532,0.008006761,0,0,0,0.001645834,0.005916107,0,0.000489302,0,0.000489302,0,0.00155687,0,0,0,0,0.002846848,0.001423424,0.012766336,0.005604733,0.004092345,0.002046172,0,0,0,0,0,0,0,0.007072639,0,0,0.030959477,0.000800676,0,0.01218807,0,0,0,0,0.003291669,0.00311374,0,0.000756194,0.02726747,0.226235488,0,0.00155687,0,0,0,0.001289978,0,0.000266892,0,0,0,0.044215115,0,0.000800676,0.021885147,0.000489302,0.030381211,0.000756194,0.000934122,0.008896401,0.029091233,0,0,0,0.000622748,0,0.002579956
Kalan16S006-233,0.000481638,0,0,0.007043949,0,0.00192655,0.001384708,0.002227574,0.000963275,0,0,0.002107164,0.150150512,0,0,0.141420831,0.000481638,0.000240819,0,0.00192655,0,0,0.003431668,0,0,0,0.003311258,0,0,0,0,0.000842866,0.001745936,0,0.020048164,0,0.001565322,0,0,0,0,0,0,0,0,0.000421433,0.001384708,0,0.000782661,0.001986755,0.03654425,0.000541842,0.006742926,0.000662252,0.015713426,0.001625527,0,0.004635762,0.004455148,0.004274533,0.014328718,0,0,0,0,0,0,0.001986755,0.001685731,0.002287778,0,0,0.003552077,0.000842866,0,0,0.004093919,0.002107164,0,0,0.000240819,0,0,0,0.002649007,0,0,0.009151114,0.000662252,0,0,0,0,0,0,0,0,0,0,0,0,0.00192655,0,0,0,0,0,0,0,0.013245033,0,0,0.001264299,0,0,0,0,0,0.006321493,0,0,0.001806141,0,0.049608669,0,0,0,0.00102348,0,0,0.019084889,0,0.010355208,0.001324503,0.004394943,0.000301023,0,0.01986755,0,0,0.000361228,0.011017459,0,0,0,0,0,0,0.000421433,0,0.001505117,0.000541842,0.000722456,0,0,0,0,0.010234798,0.000481638,0.001625527,0.005117399,0.008007225,0.000481638,0,0,0.000361228,0,0,0,0,0.008308248,0.018543046,0,0.031727875,0.000301023,0,0.010234798,0,0,0,0,0.001625527,0.003612282,0,0,0.055267911,0.136062613,0,0,0,0,0,0.028597231,0,0,0.004093919,0.001444913,0,0,0,0,0.012281758,0.000180614,0.02962071,0,0,0.004695966,0.014027694,0,0,0,0.000421433,0,0.002889825
